Ticker,TickerType,Company,Traded,Transaction,Trade_Size_USD,Status,Subholding,Description,Name,BioGuideID,Filed,Party,District,Chamber,Comments,Quiver_Upload_Time,excess_return,State,last_modified
MA,ST,MASTERCARD INCORPORATED,2020-03-27,Purchase,"$1,001 - $15,000",NEW,,,John Curtis,C001114,2020-04-09,R, UT03,House,,2020-07-26,-25.0439724755136,Utah,2023-11-16
SBUX,ST,STARBUCKS CORPORATION,2020-03-27,Purchase,"$1,001 - $15,000",NEW,,,John Curtis,C001114,2020-04-09,R, UT03,House,,2020-07-26,-85.3397196378203,Utah,2023-11-16
DHR,ST,DANAHER CORPORATION,2020-03-27,Purchase,"$1,001 - $15,000",NEW,,,John Curtis,C001114,2020-04-09,R, UT03,House,,2020-07-26,-61.4876424100464,Utah,2023-11-16
ISRG,ST,"INTUITIVE SURGICAL, INC.",2020-03-27,Purchase,"$1,001 - $15,000",NEW,,,John Curtis,C001114,2020-04-09,R, UT03,House,,2020-07-26,92.5341434437847,Utah,2023-11-16
HD,ST,"HOME DEPOT, INC.",2020-03-27,Purchase,"$1,001 - $15,000",NEW,,,John Curtis,C001114,2020-04-09,R, UT03,House,,2020-07-26,-20.5105273381391,Utah,2023-11-16
BAC,ST,BANK OF AMERICA CORPORATION,2020-03-27,Purchase,"$1,001 - $15,000",NEW,,,John Curtis,C001114,2020-04-09,R, UT03,House,,2020-07-26,-23.4157505224885,Utah,2023-11-16
UNP,ST,UNION PACIFIC CORPORATION,2020-03-27,Purchase,"$1,001 - $15,000",NEW,,,John Curtis,C001114,2020-04-09,R, UT03,House,,2020-07-26,-62.882219418569,Utah,2023-11-16
NKE,ST,"NIKE, INC.",2020-03-27,Purchase,"$1,001 - $15,000",NEW,,,John Curtis,C001114,2020-04-09,R, UT03,House,,2020-07-26,-143.838858509726,Utah,2023-11-16
JPM,ST,JP MORGAN CHASE & CO.,2020-03-27,Purchase,"$1,001 - $15,000",NEW,,,John Curtis,C001114,2020-04-09,R, UT03,House,,2020-07-26,28.8560803174594,Utah,2023-11-16
AMZN,ST,"AMAZON.COM, INC.",2020-03-27,Purchase,"$15,001 - $50,000",NEW,,,John Curtis,C001114,2020-04-09,R, UT03,House,,2020-07-26,-10.4203014525565,Utah,2023-11-16
AAPL,ST,APPLE INC.,2020-03-27,Purchase,"$15,001 - $50,000",NEW,,,John Curtis,C001114,2020-04-09,R, UT03,House,,2020-07-26,127.700978037023,Utah,2023-11-16
CMCSA,ST,COMCAST CORPORATION - CLASS A,2020-03-27,Purchase,"$1,001 - $15,000",NEW,,,John Curtis,C001114,2020-04-09,R, UT03,House,,2020-07-26,-108.759216276353,Utah,2023-11-16
AXP,ST,AMERICAN EXPRESS COMPANY,2020-03-27,Purchase,"$1,001 - $15,000",NEW,,,John Curtis,C001114,2020-04-09,R, UT03,House,,2020-07-26,88.3976002169582,Utah,2023-11-16
V,ST,VISA INC.,2020-03-27,Purchase,"$1,001 - $15,000",NEW,,,John Curtis,C001114,2020-04-09,R, UT03,House,,2020-07-26,-44.2195454662314,Utah,2023-11-16
INTC,ST,INTEL CORPORATION,2020-03-27,Purchase,"$1,001 - $15,000",NEW,,,John Curtis,C001114,2020-04-09,R, UT03,House,,2020-07-26,-188.192366693749,Utah,2023-11-16
BLK,ST,"BLACKROCK, INC.",2020-03-27,Purchase,"$1,001 - $15,000",NEW,,,John Curtis,C001114,2020-04-09,R, UT03,House,,2020-07-26,1.59017801276048,Utah,2023-11-16
BRK.B,ST,BERKSHIRE HATHAWAY INC. NEW,2020-03-27,Sale,"$50,001 - $100,000",NEW,,,John Curtis,C001114,2020-04-09,R, UT03,House,,2020-07-26,24.7708395798036,Utah,2023-11-16
ZTS,ST,ZOETIS INC. CLASS A,2020-03-27,Purchase,"$1,001 - $15,000",NEW,,,John Curtis,C001114,2020-04-09,R, UT03,House,,2020-07-26,-77.3801541092191,Utah,2023-11-16
ABT,ST,ABBOTT LABORATORIES,2020-03-27,Purchase,"$1,001 - $15,000",NEW,,,John Curtis,C001114,2020-04-09,R, UT03,House,,2020-07-26,-80.5461749383206,Utah,2023-11-16
TMO,ST,THERMO FISHER SCIENTIFIC INC,2020-03-27,Purchase,"$1,001 - $15,000",NEW,,,John Curtis,C001114,2020-04-09,R, UT03,House,,2020-07-26,-38.2482475051458,Utah,2023-11-16
NVDA,ST,NVIDIA CORPORATION,2020-03-27,Purchase,"$1,001 - $15,000",NEW,,,John Curtis,C001114,2020-04-09,R, UT03,House,,2020-07-26,2079.24458400842,Utah,2023-11-16
